Date,AQI,Sample_Duration,Pollutant_Type
1987-12-26,13,24 HOUR,81102
1987-12-29,77,24 HOUR,81102
1987-01-03,56,24 HOUR,81102
1987-01-06,21,24 HOUR,81102
1987-01-09,76,24 HOUR,81102
1987-01-12,102,24 HOUR,81102
1987-01-15,29,24 HOUR,81102
1987-01-18,48,24 HOUR,81102
1987-01-21,43,24 HOUR,81102
1987-01-24,46,24 HOUR,81102
1987-01-27,80,24 HOUR,81102
1987-01-30,70,24 HOUR,81102
1987-02-02,48,24 HOUR,81102
1987-02-05,50,24 HOUR,81102
1987-02-08,35,24 HOUR,81102
1987-02-11,48,24 HOUR,81102
1987-02-14,13,24 HOUR,81102
1987-02-17,27,24 HOUR,81102
1987-02-20,35,24 HOUR,81102
1987-02-23,46,24 HOUR,81102
1987-02-26,20,24 HOUR,81102
1987-03-01,70,24 HOUR,81102
1987-03-04,58,24 HOUR,81102
1987-03-07,80,24 HOUR,81102
1987-03-10,54,24 HOUR,81102
1987-03-13,50,24 HOUR,81102
1987-03-16,8,24 HOUR,81102
1987-03-19,42,24 HOUR,81102
1987-03-22,6,24 HOUR,81102
1988-01-02,64,24 HOUR,81102
1988-01-04,54,24 HOUR,81102
1988-01-06,19,24 HOUR,81102
1988-01-08,42,24 HOUR,81102
1988-01-10,28,24 HOUR,81102
1988-01-12,36,24 HOUR,81102
1988-01-14,49,24 HOUR,81102
1988-01-16,30,24 HOUR,81102
1988-01-18,14,24 HOUR,81102
1988-01-20,59,24 HOUR,81102
1988-01-22,45,24 HOUR,81102
1988-01-24,16,24 HOUR,81102
1988-01-26,55,24 HOUR,81102
1988-01-28,73,24 HOUR,81102
1988-01-30,19,24 HOUR,81102
1988-02-01,14,24 HOUR,81102
1988-02-03,52,24 HOUR,81102
1988-02-07,21,24 HOUR,81102
1988-02-11,75,24 HOUR,81102
1988-02-13,44,24 HOUR,81102
1988-02-15,30,24 HOUR,81102
1988-02-17,49,24 HOUR,81102
1988-02-19,35,24 HOUR,81102
1988-02-21,26,24 HOUR,81102
1988-02-23,31,24 HOUR,81102
1988-02-25,62,24 HOUR,81102
1988-02-27,54,24 HOUR,81102
1988-02-29,54,24 HOUR,81102
1988-03-02,6,24 HOUR,81102
1988-03-04,31,24 HOUR,81102
1988-03-08,27,24 HOUR,81102
1988-03-10,11,24 HOUR,81102
1988-03-18,30,24 HOUR,81102
1988-03-12,10,24 HOUR,81102
1988-03-14,26,24 HOUR,81102
1988-03-16,19,24 HOUR,81102
1988-03-20,17,24 HOUR,81102
1988-03-22,30,24 HOUR,81102
1988-03-24,13,24 HOUR,81102
1988-03-26,23,24 HOUR,81102
1988-03-28,42,24 HOUR,81102
1988-03-30,15,24 HOUR,81102
1988-04-01,36,24 HOUR,81102
1988-04-03,22,24 HOUR,81102
1988-04-05,19,24 HOUR,81102
1988-04-07,42,24 HOUR,81102
1988-04-15,48,24 HOUR,81102
1988-04-09,10,24 HOUR,81102
1988-04-11,31,24 HOUR,81102
1988-04-13,53,24 HOUR,81102
1988-04-17,26,24 HOUR,81102
1988-04-19,19,24 HOUR,81102
1988-04-21,31,24 HOUR,81102
1988-04-23,20,24 HOUR,81102
1988-04-25,18,24 HOUR,81102
1988-04-27,18,24 HOUR,81102
1988-04-29,42,24 HOUR,81102
1988-05-01,34,24 HOUR,81102
1988-05-03,20,24 HOUR,81102
1988-05-05,28,24 HOUR,81102
1988-05-07,12,24 HOUR,81102
1988-05-09,21,24 HOUR,81102
1988-05-11,25,24 HOUR,81102
1988-05-13,35,24 HOUR,81102
1988-05-15,23,24 HOUR,81102
1988-05-17,38,24 HOUR,81102
1988-05-19,6,24 HOUR,81102
1988-05-21,13,24 HOUR,81102
1988-05-23,17,24 HOUR,81102
1988-05-25,27,24 HOUR,81102
1988-05-27,33,24 HOUR,81102
1988-05-29,29,24 HOUR,81102
1988-06-02,19,24 HOUR,81102
1988-06-04,30,24 HOUR,81102
1988-06-06,31,24 HOUR,81102
1988-06-08,36,24 HOUR,81102
1988-06-10,20,24 HOUR,81102
1988-06-12,19,24 HOUR,81102
1988-06-14,14,24 HOUR,81102
1988-06-16,27,24 HOUR,81102
1988-06-18,24,24 HOUR,81102
1988-06-20,32,24 HOUR,81102
1988-06-22,28,24 HOUR,81102
1988-06-24,44,24 HOUR,81102
1988-06-26,22,24 HOUR,81102
1988-06-28,20,24 HOUR,81102
1988-06-30,24,24 HOUR,81102
1988-07-08,15,24 HOUR,81102
1988-07-02,28,24 HOUR,81102
1988-07-04,26,24 HOUR,81102
1988-07-06,23,24 HOUR,81102
1988-07-09,15,24 HOUR,81102
1988-07-10,17,24 HOUR,81102
1988-07-14,10,24 HOUR,81102
1988-07-16,43,24 HOUR,81102
1988-07-18,31,24 HOUR,81102
1988-07-20,32,24 HOUR,81102
1988-07-22,51,24 HOUR,81102
1988-07-24,44,24 HOUR,81102
1988-07-26,47,24 HOUR,81102
1988-07-28,36,24 HOUR,81102
1988-07-30,36,24 HOUR,81102
1988-08-01,39,24 HOUR,81102
1988-08-03,22,24 HOUR,81102
1988-08-11,36,24 HOUR,81102
1988-08-05,27,24 HOUR,81102
1988-08-07,22,24 HOUR,81102
1988-08-09,24,24 HOUR,81102
1988-08-13,32,24 HOUR,81102
1988-08-17,18,24 HOUR,81102
1988-08-19,40,24 HOUR,81102
1988-08-21,25,24 HOUR,81102
1988-08-23,37,24 HOUR,81102
1988-08-25,49,24 HOUR,81102
1988-08-27,31,24 HOUR,81102
1988-08-29,55,24 HOUR,81102
1988-08-31,51,24 HOUR,81102
1988-09-02,48,24 HOUR,81102
1988-09-04,31,24 HOUR,81102
1988-09-08,73,24 HOUR,81102
1988-09-10,60,24 HOUR,81102
1988-09-12,7,24 HOUR,81102
1988-09-14,10,24 HOUR,81102
1988-09-16,39,24 HOUR,81102
1988-09-18,33,24 HOUR,81102
1988-09-22,32,24 HOUR,81102
1988-09-24,45,24 HOUR,81102
1988-09-26,49,24 HOUR,81102
1988-09-28,17,24 HOUR,81102
1988-09-30,31,24 HOUR,81102
1988-10-08,28,24 HOUR,81102
1988-10-02,27,24 HOUR,81102
1988-10-04,21,24 HOUR,81102
1988-10-06,18,24 HOUR,81102
1988-10-10,31,24 HOUR,81102
1988-10-12,44,24 HOUR,81102
1988-10-14,45,24 HOUR,81102
1988-10-16,20,24 HOUR,81102
1988-10-18,31,24 HOUR,81102
1988-10-22,29,24 HOUR,81102
1988-10-24,38,24 HOUR,81102
1988-10-28,51,24 HOUR,81102
1988-10-30,40,24 HOUR,81102
1988-11-01,31,24 HOUR,81102
1988-11-03,19,24 HOUR,81102
1988-11-05,28,24 HOUR,81102
1988-11-07,30,24 HOUR,81102
1988-11-09,15,24 HOUR,81102
1988-11-11,27,24 HOUR,81102
1988-11-13,19,24 HOUR,81102
1988-11-15,14,24 HOUR,81102
1988-11-17,26,24 HOUR,81102
1988-11-19,22,24 HOUR,81102
1988-11-21,36,24 HOUR,81102
1988-11-23,34,24 HOUR,81102
1988-11-25,8,24 HOUR,81102
