Date,AQI,Sample_Duration,Pollutant_Type
1977-01-14,72,8-HR RUN AVG END HOUR,42101
1977-01-15,33,8-HR RUN AVG END HOUR,42101
1977-01-16,55,8-HR RUN AVG END HOUR,42101
1977-01-17,55,8-HR RUN AVG END HOUR,42101
1977-01-18,52,8-HR RUN AVG END HOUR,42101
1977-01-19,47,8-HR RUN AVG END HOUR,42101
1977-01-20,60,8-HR RUN AVG END HOUR,42101
1977-01-21,60,8-HR RUN AVG END HOUR,42101
1977-01-22,80,8-HR RUN AVG END HOUR,42101
1977-01-23,3,8-HR RUN AVG END HOUR,42101
1977-01-24,27,8-HR RUN AVG END HOUR,42101
1977-01-25,41,8-HR RUN AVG END HOUR,42101
1977-01-26,39,8-HR RUN AVG END HOUR,42101
1977-01-27,13,8-HR RUN AVG END HOUR,42101
1977-01-28,18,8-HR RUN AVG END HOUR,42101
1977-01-29,47,8-HR RUN AVG END HOUR,42101
1977-01-30,22,8-HR RUN AVG END HOUR,42101
1977-01-31,23,8-HR RUN AVG END HOUR,42101
1977-02-01,33,8-HR RUN AVG END HOUR,42101
1977-02-02,25,8-HR RUN AVG END HOUR,42101
1977-02-03,34,8-HR RUN AVG END HOUR,42101
1977-02-04,33,8-HR RUN AVG END HOUR,42101
1977-02-05,51,8-HR RUN AVG END HOUR,42101
1977-02-06,23,8-HR RUN AVG END HOUR,42101
1977-02-07,51,8-HR RUN AVG END HOUR,42101
1977-02-08,72,8-HR RUN AVG END HOUR,42101
1977-02-09,34,8-HR RUN AVG END HOUR,42101
1977-02-10,34,8-HR RUN AVG END HOUR,42101
1977-02-11,32,8-HR RUN AVG END HOUR,42101
1977-02-12,16,8-HR RUN AVG END HOUR,42101
1977-02-13,14,8-HR RUN AVG END HOUR,42101
1977-02-14,26,8-HR RUN AVG END HOUR,42101
1977-02-15,42,8-HR RUN AVG END HOUR,42101
1977-02-16,41,8-HR RUN AVG END HOUR,42101
1977-02-17,17,8-HR RUN AVG END HOUR,42101
1977-02-18,7,8-HR RUN AVG END HOUR,42101
1977-02-19,20,8-HR RUN AVG END HOUR,42101
1977-02-20,32,8-HR RUN AVG END HOUR,42101
1977-02-21,14,8-HR RUN AVG END HOUR,42101
1977-02-22,19,8-HR RUN AVG END HOUR,42101
1977-02-23,16,8-HR RUN AVG END HOUR,42101
1977-02-24,17,8-HR RUN AVG END HOUR,42101
1977-02-25,10,8-HR RUN AVG END HOUR,42101
1977-02-26,10,8-HR RUN AVG END HOUR,42101
1977-02-27,8,8-HR RUN AVG END HOUR,42101
1977-02-28,39,8-HR RUN AVG END HOUR,42101
1977-03-01,40,8-HR RUN AVG END HOUR,42101
1977-10-01,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-01,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-01,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-02,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-02,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-02,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-03,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-03,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-03,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-04,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-04,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-04,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-05,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-05,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-05,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-06,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-06,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-06,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-07,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-07,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-07,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-08,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-08,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-08,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-09,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-09,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-09,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-10,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-10,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-10,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-11,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-11,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-11,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-12,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-12,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-12,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-13,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-13,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-13,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-14,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-14,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-14,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-15,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-15,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-15,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-16,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-16,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-16,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-17,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-17,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-17,0,8-HR RUN AVG BEGIN HOUR,44201
1977-10-18,9,8-HR RUN AVG BEGIN HOUR,44201
1977-10-18,9,8-HR RUN AVG BEGIN HOUR,44201
1977-10-18,9,8-HR RUN AVG BEGIN HOUR,44201
1977-10-19,31,8-HR RUN AVG BEGIN HOUR,44201
1977-10-19,31,8-HR RUN AVG BEGIN HOUR,44201
1977-10-19,26,8-HR RUN AVG BEGIN HOUR,44201
1977-10-20,26,8-HR RUN AVG BEGIN HOUR,44201
1977-10-20,26,8-HR RUN AVG BEGIN HOUR,44201
1977-10-20,19,8-HR RUN AVG BEGIN HOUR,44201
1977-10-21,22,8-HR RUN AVG BEGIN HOUR,44201
1977-10-21,22,8-HR RUN AVG BEGIN HOUR,44201
1977-10-21,14,8-HR RUN AVG BEGIN HOUR,44201
1977-10-22,20,8-HR RUN AVG BEGIN HOUR,44201
1977-10-22,20,8-HR RUN AVG BEGIN HOUR,44201
